Job ID,Start Date,Date of Completion,Days on Job,Date invoiced,#days to inv completion,City,Job type,Invoice Amt $,PAID Y/N,AMT PAID,Insurance Y/N,Repeat Client
22SC106,4/30/2022,4/30/2022,1,05/20/22,20,Riverside,Cat feces/urine,"$1,200.00",Y,"$1,200.00",N,
22SC107,5/4/2022,5/4/2022,1,06/02/22,29,Loma Linda,Decomp,"$1,707.51",Y,"$1,707.51",N,Repeat Client
22SC108,5/5/2022,5/5/2022,1,05/27/22,22,Landers,Feces,"$2,600.51",Y,"$2,600.51",N,
22SC109,5/6/2022,5/6/2022,1,05/19/22,13,Lawndale,Decomp,"$4,525.10",Y,"$4,525.10",N,
22SC110,5/7/2022,5/9/2022,3,05/23/22,14,Palm Springs,Clean out,"$23,835.09",Y,"$23,835.09",N,
22SC111,5/9/2022,5/10/2022,2,06/03/22,24,Los Angeles,Gross filth,"$4,667.53",Y,"$4,667.53",N,Repeat Client
22SC112,5/9/2022,5/9/2022,1,05/27/22,18,San Diego,Blood cleanup,"$2,864.36",Y,"$2,864.36",N,
22SC113,5/10/2022,5/10/2022,1,05/2022,-9,Los Angeles,Dispatch fee,$0.00,,,N,
22SC114,5/11/2022,5/11/2022,1,05/26/22,15,San Diego,Feces Trailer,"$2,165.60",Y,"$2,165.60",N,Repeat Client
22SC115,5/12/2022,5/12/2022,1,05/19/22,7,Fontana,Car clean ,$940.50,Y,$940.50,N,
22SC116,5/13/2022,5/13/2022,1,06/07/22,25,Long Beach,Sewage,"$1,995.81",Y,"$1,995.81",N,
22SC117,5/14/2022,5/16/2022,2,06/07/22,22,Cathedral City,Decomp,"$3,135.00",Y,"$3,135.00",N,Repeat Client
22SC118,5/16/2022,5/17/2022,2,06/07/22,21,El Cajon,Decomp,"$4,803.16",Y,"$4,803.16",N,
22SC119,5/17/2022,5/17/2022,1,06/13/22,27,Burbank,Hoarding,"$2,090.00",Y,"$2,090.00",N,
22SC120,5/18/2022,5/18/2022,1,06/07/22,20,La Jolla (San Diego),Sewage,"$1,256.67",Y,"$1,256.67",N,Repeat Client
22SC121,5/19/2022,5/19/2022,1,05/26/22,7,Oceanside ,Sewage,"$1,567.50",Y,"$1,567.50",N,
22SC122,5/19/2022,5/19/2022,1,06/07/22,19,El Cajon,Grease trap,"$1,211.31",Y,"$1,211.31",N,
22SC123,5/21/2022,5/21/2022,1,06/06/22,16,Studio City (LA),Blood bio clean,"$10,708.63",Y,"$10,708.63",Y,
22SC124,5/21/2022,5/21/2022,1,06/13/22,23,San Diego,Gross filth,"$4,474.21",Y,"$4,474.21",N,
22SC125,5/23/2022,5/23/2022,1,06/15/22,23,Del Mar,Sewage,"$2,804.03",Y,"$2,804.03",N,
22SC126,5/27/2022,6/1/2022,4,06/24/22,23,Rialto,Decomp,"$38,475.49",Y,"$38,475.49",Y,Repeat Client
22SC127,5/27/2022,5/27/2022,1,06/16/22,20,Studio City (LA),Scam poop,"$2,856.42",Y,"$2,856.42",N,
22SC128,5/28/2022,5/28/2022,1,06/07/22,10,Sherman Oaks (LA),Feces,"$3,560.53",Y,"$3,560.53",N,
22SC129,6/1/2022,6/2/2022,2,06/07/22,5,Glendale,Cleanout,"$4,963.75",Y,"$4,963.75",N,
22SC130,6/1/2022,6/1/2022,1,06/16/22,15,La Mesa,Blood cleanup,"$3,491.06",Y,"$3,491.06",Y,
22SC131,6/1/2022,6/3/2022,3,07/19/22,46,Carlsbad,Decomp,"$15,000.00",Y,"$15,000.00",Y,
22SC132,6/2/2022,6/3/2022,2,06/13/22,10,San Diego,Nicotine odor,"$2,000.00",Y,"$2,000.00",N,Repeat Client
22SC133,6/3/2022,6/3/2022,1,06/17/22,14,San Diego,Sucide,"$3,657.48",Y,"$3,657.48",N,
22SC134,6/4/2022,6/4/2022,1,06/15/22,11,San Diego,Blood cleanup,"$1,045.00",Y,"$1,045.00",N,
22SC135,6/7/2022,6/7/2022,1,06/09/22,2,Oceanside,Morgue clean,"$3,657.50",Y,"$3,657.50",N,
22SC136,6/7/2022,6/7/2022,1,06/16/22,9,San Diego,Cleanout ,"$1,243.68",Y,"$1,243.68",N,Repeat Client
22SC137,6/8/2022,6/8/2022,1,06/16/22,8,Irvine,Hazmat waste pickup,"$1,643.00",Y,"$1,643.00",N,
22SC138,6/8/2022,6/8/2022,1,06/28/22,20,Santa Monica,rat clean,"$2,194.50",Y,"$2,194.50",N,
22SC139,6/9/2022,6/9/2022,1,06/16/22,7,Laguna Beach,feces & vomit,"$3,362.25",Y,"$3,362.25",N,
22SC140,6/9/2022,6/9/2022,1,06/16/22,7,Lakeside,blood cleanup,"$2,612.50",Y,"$2,612.50",N,
22SC141,6/10/2022,6/10/2022,1,07/05/22,25,OCeanside,Decom (bio only),"$5,521.49",Y,"$5,521.49",N,Repeat Client
22SC142,6/11/2022,6/12/2022,2,07/07/22,25,Pasadena,Organizing,"$5,167.47",Y,"$5,167.47",N,
22SC143,6/11/2022,6/13/2022,3,08/05/22,53,Palm Springs,Decomp,"$62,485.55",Y,"$62,485.55",Y,Repeat Client
22SC144,6/12/2022,6/12/2022,1,06/16/22,4,San Diego,Fridge clean,$731.50,Y,$731.50,N,
22SC145,6/12/2022,6/12/2022,1,06/13/22,1,San Diego,Floor clean,"$2,090.00",Y,"$2,090.00",N,
22SC146,6/14/2022,6/15/2022,2,07/07/22,22,Rancho Mirage,Rats,"$5,944.66",Y,"$5,944.66",N,
22SC147,6/19/2022,6/19/2022,1,08/22/22,64,San Fernando,Suicide,"$20,017.14",Y,"$20,017.14",Y,
22SC148,6/19/2022,6/24/2022,5,07/07/22,13,Niland,Decomp,"$15,675.00",Y,"$15,675.00",N,
22SC149,6/21/2022,6/21/2022,1,4/6/23,289,San Diego,Suicide,"$9,617.39",,,,
22SC150,6/22/2022,6/22/2022,1,08/01/22,40,Valencia,Bathroom clean,"$2,900.00",Y,"$2,900.00",N,
22SC151,6/28/2022,6/28/2022,1,07/27/22,29,San Diego,Fridge clean,"$1,045.00",Y,"$1,045.00",N,
22SC152,6/29/2022,7/5/2022,4,4/7/23,276,San Diego,Gross Filth & Vandalism,"$35,000.00",N,"$3,500.00",Y,Repeat Client
22SC153,6/29/2022,7/4/2022,3,08/08/22,35,White Water,Decomp,"$5,000.00",P,"$1,045.00",N,Repeat Client
22SC154,7/1/2022,7/1/2022,1,07/05/22,4,Pomona,Hazmat oil,"$4,051.64",Y,"$4,051.64",N,
22SC155,7/2/2022,7/2/2022,1,08/02/22,31,Pasadena,Rats,"$5,024.93",Y,"$5,024.93",N,
22SC156,7/2/2022,7/2/2022,1,08/02/22,31,Redondo Beach,Vomit/Feces,"$1,798.36",Y,"$1,798.36",N,
22SC157,7/5/2022,7/5/2022,1,07/22/22,17,San Diego,Feces,$842.75,Y,$842.75,N,Repeat Client
22SC158,7/6/2022,7/6/2022,1,08/08/22,33,Mojave,Covid,"$3,218.69",Y,"$3,218.69",N,Repeat Client
22SC159,7/6/2022,7/6/2022,1,08/02/22,27,Escondido,Sewage,"$3,926.88",Y,"$3,926.88",N,
22SC160,7/8/2022,7/8/2022,1,07/19/22,11,Santa Ana,Feces,"$1,600.00",Y,"$1,600.00",N,
22SC161,,,0,07/15/22,44757,Cathedral City,Vehicle clean,"$1,957.79",Y,"$1,957.79",N,Repeat Client
22SC162,7/11/2022,7/11/2022,1,08/16/22,36,Sierra Madre,Hazmat,"$6,096.91",Y,"$6,096.91",N,
22SC163,7/12/2022,7/14/2022,3,07/15/22,1,Temecula,Sort & dispose,"$11,773.94",Y,"$11,773.94",N,
22SC164,7/13/2022,7/13/2022,1,07/15/22,2,Santa Monica,Gross filth,"$2,501.22",Y,"$2,501.22",N,
22SC165,7/14/2022,7/14/2022,1,08/16/22,33,La jolla,Morgue,"$2,987.49",Y,"$2,987.49",N,Repeat Client
22SC166,7/14/2022,7/14/2022,1,07/15/22,1,Long Beach,Blood cleanu,"$1,262.55",Y,"$1,262.55",N,
22SC167,7/15/2022,7/20/2022,3,08/22/22,33,Los Angeles,Decomp + Hoard,"$11,000.00",N,COLLECTIONS,N,
22SC168,7/16/2022,7/16/2022,1,08/02/22,17,San Diego,Decomp,"$1,254.00",Y,"$1,254.00",N,
22SC169,7/17/2022,7/17/2022,1,07/26/22,9,Lancaster,,"$5,000.00",N,COLLECTIONS,N,
22SC170,7/21/2022,7/21/2022,1,08/16/22,26,San Diego,Morgue,"$3,213.80",Y,"$3,213.80",N,Repeat Client
22SC171,7/21/2022,7/22/2022,2,07/26/22,4,Costa Mesa,Hoarding & sort,"$4,651.88",P,"$4,651.88",N,Repeat Client
22SC172,7/21/2022,7/21/2022,1,08/16/22,26,Sun Valley,Feces,$815.92,Y,$815.92,N,Repeat Client
22SC173,7/22/2022,7/23/2022,2,08/25/22,33,Palm Desert,Decomp,"$3,657.50",Y,"$3,657.50",Y,
22SC174,7/25/2022,7/25/2022,1,07/25/22,0,San Jacinto,Bio pickup,$607.25,Y,$607.25,N,
22SC175,7/27/2022,7/27/2022,1,08/18/22,22,San Diego,Blood cleanup,"$2,637.20",Y,"$2,637.20",N,
22SC176,7/28/2022,7/28/2022,1,08/26/22,29,North Hollywood,Gross filth,"$3,657.50",Y,"$3,657.50",N,
22SC177,7/28/2022,7/28/2022,1,08/26/22,29,Grlendora,Gross filth,"$3,681.40",Y,"$3,681.40",N,
22SC178,7/29/2022,7/29/2022,1,09/15/22,48,Valley Center,Gross filth,"$39,421.94",Y,"$39,421.94",Y,
22SC179,7/29/2022,8/2/2022,2,08/09/22,7,Los Angeles,Unattended death,"$3,135.00",Y,"$3,135.00",N,
22SC180,7/30/2022,7/30/2022,1,08/29/22,30,Ventura,Salmonella,"$3,158.75",Y,"$3,158.75",N,
22SC181,8/2/2022,8/2/2022,1,09/01/22,30,San Diego,Morgue,"$3,132.56",Y,"$3,132.56",N,Repeat Client
22SC182,8/2/2022,8/2/2022,1,08/02/22,0,La Mesa,Odor,"$1,500.00",Y,"$1,500.00",N,Repeat Client
22SC183,8/3/2022,8/3/2022,1,08/30/22,27,Los Angeles,Gross Filth,$0.00,N,,N,
22SC184,8/3/2022,8/3/2022,1,,,Oceanside,Blood cleanup,"$16,601.28",Y,"$16,601.28",Y,Repeat Client
22SC185,8/4/2022,8/4/2022,1,09/27/22,54,Covina,Decomp,"$49,956.18",N,"$48,409.55",Y,
22SC186,8/4/2022,8/4/2022,1,08/16/22,12,Sun Valley,Feces,$888.25,Y,$888.25,N,Repeat Client
22SC187,8/5/2022,8/5/2022,1,09/20/22,46,Johnson Valley,Decomp & Hoard,"$46,804.49",N,"$46,804.49",Y,
22SC188,8/6/2022,8/6/2022,1,08/24/22,18,Dana Point,Blood cleanup,"$1,567.50",N,"$1,567.50",N,Repeat Client
22SC189,8/9/2022,8/9/2022,1,08/26/22,17,Los Angeles,Sink clean,"$1,045.00",Y,"$1,045.00",N,
